playerId,Player,Season,Team,CapHit,CapHit_pct,Season_id,Pos_group,S/C,Age,heightInInches,weightInPounds,GP,TOI/GP,Depth_TOI_rank,PP TOI,PK TOI,Is_ELC,ContractLength,YearsRemaining,WAR_per_GP,EVO WAR,EVD WAR,PP WAR,PK WAR,pointsPerGame,ixG,shots,xGF%,OZ Start%,xG_diff,Hits,HitsT,BkS,TkA,GvA,penaltyMinutes,DZ Start%,Team_pointPct,Team_GF_pct,Team_PP%,Team_PK%,nhl_edge_skatingSpeedMax_mph,nhl_edge_burstsOver20,nhl_edge_topShotSpeed_mph,nhl_edge_totalDistanceSkated_mph,nhl_edge_distanceMaxGame_mph,nhl_edge_zoneTime_offensiveZonePctg
8481725,Elmer Soderblom,24-25,DET,0.88,0.009981,2,W,L,23,80,252,26,13.37,6.0,9.12,0.0,1,3,0,-0.0,0.29,-0.1,-0.0,0.0,0.42,6.45,38,50.25,31.11,0.15,43,35,12,5,21,6,31.11,0.52439,0.4757085020242915,0.270042,0.701087,21.75,51.0,90.02,58.02,2.71,0.41
8480434,Sean Durzi,24-25,UTA,6.0,0.068182,2,D,R,25,73,196,30,20.65,3.0,39.37,36.5,0,4,3,0.01,0.25,-0.12,-0.0,-0.0,0.37,3.53,39,52.61,31.98,2.32,15,60,52,11,46,19,24.29,0.54268,0.4928131416837782,0.241525,0.792829,22.2,17.0,89.68,89.75,4.13,0.43
8480074,Alexandre Texier,24-25,STL,2.1,0.023864,2,W,L,25,73,196,31,12.49,6.0,26.02,2.13,0,2,1,0.0,-0.03,-0.22,0.04,-0.0,0.35,5.27,50,44.47,28.66,-3.01,20,15,11,5,13,10,22.29,0.58536,0.5197505197505198,0.220512,0.742106,21.8,21.0,91.14,62.95,2.78,0.41
8482691,Aatu Räty,24-25,VAN,0.84,0.009508,2,C,L,21,74,204,33,10.66,7.0,6.2,2.6,1,3,0,0.02,0.03,0.07,0.0,0.0,0.33,4.02,34,52.5,32.21,1.2,80,20,7,2,8,14,27.4,0.54878,0.4814049586776859,0.225225,0.825893,21.72,13.0,78.45,56.71,2.49,0.43
8483505,Matthew Poitras,24-25,BOS,0.87,0.009886,2,C,R,20,71,180,33,13.09,6.0,31.82,0.5,1,3,1,-0.01,0.03,-0.1,-0.06,-0.0,0.33,3.7,29,48.01,37.33,-1.19,12,49,10,14,28,8,16.67,0.46341,0.4503042596348884,0.152173,0.762712,21.21,35.0,78.19,71.67,2.72,0.43
8484911,Collin Graf,24-25,SJS,0.94,0.010701,2,W,R,22,73,190,33,15.86,2.0,40.43,64.37,1,3,1,0.01,-0.05,-0.01,0.0,-0.02,0.33,4.39,40,44.75,26.55,-3.27,20,19,15,7,15,8,31.64,0.31707,0.4015444015444015,0.18584,0.742188,22.58,64.0,83.58,84.09,3.39,0.38
8477478,William Carrier,24-25,CAR,2.0,0.022727,2,W,L,29,74,214,43,11.73,8.0,2.77,13.0,0,6,4,0.0,0.3,0.1,-0.0,0.02,0.26,6.96,48,54.89,33.53,3.75,156,61,12,11,19,16,21.28,0.60365,0.5362903225806451,0.186991,0.836066,22.35,61.0,83.81,80.7,2.48,0.47
8477407,Anthony Duclair,24-25,NYI,3.5,0.039773,2,W,L,29,72,198,44,15.04,3.0,73.67,0.0,0,4,3,-0.0,-0.03,-0.46,-0.03,0.0,0.25,6.92,60,43.84,29.75,-6.25,26,40,21,9,43,10,26.27,0.5,0.4634655532359081,0.125603,0.722223,23.16,47.0,86.86,101.61,2.91,0.41
8481708,Zachary Jones,24-25,NYR,0.81,0.009233,2,D,L,23,71,190,46,17.25,5.0,66.67,3.0,0,2,0,-0.01,-0.12,0.1,0.03,-0.0,0.24,3.63,51,48.18,29.39,-2.03,28,67,46,16,40,24,22.45,0.51829,0.5,0.17619,0.803348,22.76,11.0,87.6,119.45,3.31,0.42
8475762,Derek Forbort,24-25,VAN,1.5,0.017045,2,D,L,32,76,216,54,17.1,5.0,2.88,118.9,0,1,0,0.01,-0.87,0.68,0.0,0.33,0.2,1.58,39,43.02,17.91,-6.56,65,90,77,8,55,45,38.29,0.54878,0.4814049586776859,0.225225,0.825893,20.42,6.0,93.98,130.44,3.09,0.41
8480880,Jakub Lauko,24-25,BOS,0.79,0.008949,2,C,L,24,73,193,56,10.71,11.0,1.28,49.67,0,2,0,-0.01,-0.28,-0.0,-0.0,-0.07,0.2,4.58,42,37.87,20.31,-8.42,119,51,39,6,25,47,38.7,0.46341,0.4503042596348884,0.152173,0.762712,22.65,78.0,98.24,92.17,2.35,0.37
